구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"7,158","3,548",65,79,"3,404",161,"3,243"
부산,"3,758","1,727",16,28,"1,683",97,"1,586"
대구/경북,"4,925","2,325",33,72,"2,220",123,"2,097"
경인,"5,698","2,631",35,52,"2,544",110,"2,434"
광주/전남,"3,199","1,679",29,24,"1,626",87,"1,539"
대전/충남,"2,874","1,396",11,20,"1,365",72,"1,293"
강원,542,293,8,8,277,19,258
충북,"1,476",714,8,8,698,33,665
전북,"1,261",661,12,13,636,32,604
경남,"3,557","1,717",24,16,"1,677",82,"1,595"
제주,246,124,1,3,120,6,114
인천,"3,701","1,696",35,25,"1,636",91,"1,545"
경기/북부,"2,185",987,23,14,950,52,898
강원/영동,253,127,1,2,124,4,120
