구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"2,897","1,513",22,26,"1,465",93,"1,372"
부산,"2,678","1,379",21,20,"1,338",99,"1,239"
대구/경북,"3,496","2,075",21,53,"2,001",145,"1,856"
경인,"2,968","1,525",19,27,"1,479",115,"1,364"
광주/전남,"1,949","1,170",18,24,"1,128",63,"1,065"
대전/충남,"1,758",972,15,20,937,60,877
강원,478,270,1,5,264,16,248
충북,"1,028",581,9,9,563,61,502
전북,880,492,5,4,483,38,445
경남,"2,491","1,311",28,17,"1,266",96,"1,170"
제주,579,344,3,4,337,20,317
인천,"2,657","1,277",16,16,"1,245",92,"1,153"
경기/북부,"1,525",700,13,11,676,47,629
강원/영동,294,178,3,1,174,12,162
