구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"1,335",803,14,5,784,40,744
부산,"1,720","1,198",17,15,"1,166",47,"1,119"
대구/경북,"1,053",719,11,11,697,41,656
경인,"1,160",728,17,8,703,44,659
광주/전남,859,599,15,11,573,32,541
대전/충남,775,477,5,10,462,33,429
강원,106,69,2,2,65,4,61
충북,249,167,1,1,165,6,159
전북,348,232,5,6,221,10,211
경남,"2,508","1,824",16,14,"1,794",94,"1,700"
제주,208,145,1,0,144,3,141
인천,"1,026",655,16,7,632,29,603
경기/북부,609,370,7,6,357,22,335
강원/영동,155,106,3,2,101,4,97
