구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"27,950","12,631",279,162,"12,190",317,"11,873"
부산,"14,080","7,354",104,65,"7,185",174,"7,011"
대구/경북,"17,059","9,144",161,76,"8,907",218,"8,689"
경인,"23,112","11,318",209,120,"10,989",314,"10,675"
광주/전남,"11,500","6,278",124,63,"6,091",150,"5,941"
대전/충남,"12,164","6,414",115,66,"6,233",173,"6,060"
강원,"3,238","1,932",55,12,"1,865",51,"1,874"
충북,"4,865","2,713",46,32,"2,635",76,"2,559"
전북,"5,973","3,297",65,30,"3,202",79,"3,123"
경남,"9,584","4,877",69,37,"4,771",102,"4,669"
제주,"1,708",868,14,7,847,17,830
인천,"18,486","9,465",168,77,"9,220",277,"8,943"
경기/북부,"14,003","6,478",156,55,"6,267",224,"6,043"
강원/영동,"1,734",996,14,9,973,27,946
