구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"1,682","1,006",25,14,967,52,915
부산,"2,439","1,457",30,15,"1,412",62,"1,350"
대구/경북,"1,580",872,15,7,850,60,790
경인,"1,395",900,19,9,872,51,821
광주/전남,"1,097",700,17,9,674,35,639
대전/충남,919,568,13,14,541,35,506
강원,148,93,3,3,87,4,83
충북,318,219,5,5,209,13,196
전북,405,235,8,2,225,13,212
경남,"3,240","2,303",39,21,"2,243",100,"2,143"
제주,188,125,1,0,124,10,114
인천,"1,188",755,12,12,731,48,683
경기/북부,602,366,3,4,359,23,336
강원/영동,120,88,0,1,87,4,83
