구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"1,645","1,140",16,18,"1,106",75,"1,031"
부산,"1,693","1,068",15,10,"1,043",66,977
대구/경북,"2,115","1,609",26,29,"1,554",101,"1,453"
경인,"2,019","1,361",24,15,"1,322",81,"1,241"
광주/전남,"1,206",885,10,14,861,57,804
대전/충남,"1,311",914,15,8,891,79,812
강원,268,187,1,7,179,14,165
충북,544,420,10,7,403,24,379
전북,632,486,8,6,472,38,434
경남,"1,384",857,22,12,823,47,776
제주,390,267,5,4,258,20,238
인천,"1,825","1,269",25,15,"1,229",89,"1,140"
경기/북부,938,648,6,6,636,46,590
강원/영동,154,112,3,4,105,5,100
