구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"8,125","3,830",58,173,"3,599",200,"3,399"
부산,"4,225","1,738",22,65,"1,651",104,"1,547"
대구/경북,"5,339","2,226",32,78,"2,116",151,"1,965"
경인,"6,721","2,865",43,120,"2,702",196,"2,506"
광주/전남,"3,284","1,504",24,70,"1,410",91,"1,319"
대전/충남,"3,343","1,425",16,64,"1,345",86,"1,259"
강원,584,257,5,13,239,14,225
충북,"1,649",669,4,32,633,42,591
전북,"1,605",771,13,34,724,54,670
경남,"3,973","1,637",14,63,"1,560",99,"1,461"
제주,378,172,2,7,163,13,150
인천,"4,145","1,717",16,72,"1,629",96,"1,533"
경기/북부,"2,580","1,039",13,42,984,56,928
강원/영동,362,144,2,8,134,10,124
