구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"4,458","1,602",34,28,"1,540",80,"1,460"
부산,"3,642","1,525",22,24,"1,479",84,"1,395"
대구/경북,"4,185","2,040",42,22,"1,976",110,"1,866"
경인,"4,451","1,637",18,26,"1,593",93,"1,500"
광주/전남,"2,125",998,18,21,959,50,909
대전/충남,"2,568","1,083",23,16,"1,044",78,966
강원,459,207,5,4,198,10,188
충북,"1,263",550,17,11,522,40,482
전북,"1,314",633,10,5,618,35,583
경남,"3,064","1,198",23,19,"1,156",55,"1,101"
제주,752,336,5,8,323,18,305
인천,"3,964","1,471",26,25,"1,420",102,"1,318"
경기/북부,"2,302",719,15,11,693,43,650
강원/영동,366,164,5,7,152,12,140
