구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"36,601","14,702",287,318,"14,097",365,"13,732"
부산,"16,981","7,777",89,109,"7,579",179,"7,400"
대구/경북,"21,456","10,146",127,694,"9,325",254,"9,071"
경인,"31,144","12,995",165,194,"12,636",326,"12,310"
광주/전남,"15,001","6,974",101,98,"6,775",164,"6,611"
대전/충남,"15,417","6,856",113,109,"6,634",206,"6,428"
강원,"4,213","2,208",49,38,"2,121",74,"2,047"
충북,"6,522","3,049",44,53,"2,952",85,"2,867"
전북,"6,842","3,202",54,58,"3,090",101,"2,989"
경남,"12,026","5,590",66,54,"5,470",118,"5,352"
제주,"2,321","1,132",15,16,"1,101",26,"1,075"
인천,"23,950","10,536",137,189,"10,210",351,"9,859"
경기/북부,"18,491","7,275",122,105,"7,048",301,"6,747"
강원/영동,"2,103","1,118",14,22,"1,082",56,"1,026"
