구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"2,431","1,336",26,19,"1,291",62,"1,229"
부산,"2,423","1,429",18,20,"1,391",55,"1,336"
대구/경북,"3,293","1,959",19,13,"1,927",103,"1,824"
경인,"2,527","1,419",12,11,"1,396",68,"1,328"
광주/전남,"1,544",912,14,13,885,39,846
대전/충남,"1,554",878,11,17,850,46,804
강원,282,154,1,2,151,11,140
충북,779,471,5,5,461,35,426
전북,779,436,3,3,430,22,408
경남,"2,003","1,155",26,7,"1,122",45,"1,077"
제주,462,308,3,3,302,15,287
인천,"2,190","1,159",8,9,"1,142",55,"1,087"
경기/북부,"1,191",652,9,6,637,32,605
강원/영동,232,137,0,0,137,10,127
