구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"11,305","3,866",68,87,"3,711",165,"3,546"
부산,"5,830","1,807",21,31,"1,755",82,"1,673"
대구/경북,"7,110","2,299",31,36,"2,232",118,"2,114"
경인,"9,015","2,864",47,58,"2,759",151,"2,608"
광주/전남,"4,352","1,527",24,25,"1,478",64,"1,414"
대전/충남,"4,641","1,525",18,37,"1,470",78,"1,392"
강원,776,273,8,7,258,12,246
충북,"2,334",735,7,12,716,37,679
전북,"2,045",699,16,19,664,25,639
경남,"5,549","1,621",26,35,"1,560",85,"1,475"
제주,469,164,2,4,158,5,153
인천,"5,381","1,713",23,27,"1,663",87,"1,576"
경기/북부,"3,401","1,063",22,16,"1,025",61,964
강원/영동,330,110,2,1,107,8,99
