구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"10,463","3,968",95,54,"3,819",199,"3,620"
부산,"5,111","1,678",28,17,"1,633",91,"1,542"
대구/경북,"7,184","2,335",38,32,"2,265",113,"2,152"
경인,"7,760","2,611",65,47,"2,499",124,"2,375"
광주/전남,"4,365","1,721",30,15,"1,676",94,"1,582"
대전/충남,"3,903","1,392",34,25,"1,333",85,"1,248"
강원,617,222,7,2,213,21,192
충북,"2,011",705,3,10,692,42,650
전북,"2,255",828,21,18,789,37,752
경남,"4,801","1,353",17,10,"1,326",64,"1,262"
제주,295,105,2,1,102,12,90
인천,"5,200","1,677",27,23,"1,627",82,"1,545"
경기/북부,"2,682",909,23,9,877,48,829
강원/영동,360,109,3,1,105,5,100
