구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"2,591","1,399",33,56,"1,310",114,"1,196"
부산,"2,153","1,208",23,48,"1,137",112,"1,025"
대구/경북,"2,681","1,829",36,64,"1,729",222,"1,507"
경인,"2,698","1,457",24,53,"1,380",128,"1,252"
광주/전남,"1,475",961,18,42,901,81,820
대전/충남,"1,552",944,13,39,892,90,802
강원,306,180,4,8,168,12,156
충북,688,424,10,19,395,41,354
전북,736,471,8,18,445,60,385
경남,"1,903","1,047",19,38,990,105,885
제주,464,298,5,17,276,28,248
인천,"2,412","1,359",23,61,"1,275",159,"1,116"
경기/북부,"1,271",664,11,20,633,64,569
강원/영동,226,136,1,5,130,19,111
