구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"30,027","13,012",248,144,"12,620",382,"12,238"
부산,"16,246","8,205",117,69,"8,019",201,"7,818"
대구/경북,"18,868","9,875",137,92,"9,646",259,"9,387"
경인,"24,933","11,744",208,109,"11,427",367,"11,060"
광주/전남,"12,835","6,836",160,69,"6,607",199,"6,408"
대전/충남,"13,308","6,695",100,63,"6,532",197,"6,335"
강원,"3,665","2,067",45,29,"1,993",62,"1,931"
충북,"6,008","3,168",52,31,"3,085",98,"2,987"
전북,"6,604","3,524",71,33,"3,420",110,"3,310"
경남,"11,593","5,758",84,43,"5,631",141,"5,490"
제주,"2,040","1,051",14,7,"1,030",27,"1,003"
인천,"20,413","10,107",183,93,"9,831",364,"9,467"
경기/북부,"14,600","6,436",92,62,"6,282",237,"6,045"
강원/영동,"1,896","1,026",23,12,991,37,954
