구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"1,800",990,24,5,961,38,923
부산,"2,954","1,453",36,12,"1,405",48,"1,357"
대구/경북,"1,828",894,17,2,875,26,849
경인,"1,577",921,10,4,907,43,864
광주/전남,"1,258",657,8,2,647,23,624
대전/충남,985,473,7,1,465,24,441
강원,158,88,1,1,86,3,83
충북,347,149,2,0,147,7,140
전북,507,250,3,3,244,11,233
경남,"3,470","2,091",16,7,"2,068",74,"1,994"
제주,191,99,2,0,97,3,94
인천,"1,196",639,8,4,677,43,634
경기/북부,606,342,5,1,336,15,321
강원/영동,156,89,1,0,88,2,86
