구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"25,299","10,576",194,174,"10,207",105,"10,102"
부산,"11,262","5,230",78,69,"5,082",59,"5,023"
대구/경북,"14,878","6,952",105,93,"6,755",105,"6,650"
경인,"22,626","9,806",165,131,"9,512",99,"9,413"
광주/전남,"10,121","4,881",71,67,"4,743",45,"4,698"
대전/충남,"11,020","5,244",65,75,"5,104",58,"5,046"
강원,"2,645","1,514",28,26,"1,460",11,"1,449"
충북,"4,333","2,061",34,30,"1,997",23,"1,974"
전북,"5,268","2,552",60,42,"2,450",31,"2,419"
경남,"8,228","3,735",65,42,"3,629",40,"3,589"
제주,"1,613",748,8,3,736,5,731
인천,"16,579","7,718",122,100,"7,498",94,"7,404"
경기/북부,"11,809","5,307",91,79,"5,135",53,"5,082"
강원/영동,"1,470",845,20,16,808,9,799
