구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"7,315","3,727",115,49,"3,563",117,"3,446"
부산,"3,733","1,709",29,15,"1,665",73,"1,592"
대구/경북,"4,976","2,325",35,25,"2,266",76,"2,190"
경인,"5,283","2,424",44,26,"2,354",80,"2,274"
광주/전남,"3,135","1,563",29,19,"1,515",61,"1,454"
대전/충남,"2,949","1,285",23,11,"1,251",56,"1,195"
강원,426,195,7,1,187,4,183
충북,"1,394",632,11,7,614,29,585
전북,"1,510",716,12,10,694,29,665
경남,"3,068","1,344",8,11,"1,325",56,"1,269"
제주,246,138,6,0,132,5,127
인천,"3,522","1,615",38,12,"1,565",68,"1,497"
경기/북부,"2,051",928,13,10,905,22,883
강원/영동,203,96,2,0,94,4,90
