구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"9,908","4,316",59,51,"4,206",141,"4,065"
부산,"5,168","1,911",22,28,"1,861",91,"1,770"
대구/경북,"6,506","2,439",26,28,"2,385",112,"2,273"
경인,"8,155","2,953",36,37,"2,879",124,"2,755"
광주/전남,"4,081","1,636",20,32,"1,584",76,"1,508"
대전/충남,"3,848","1,475",13,18,"1,444",67,"1,377"
강원,690,252,1,4,247,10,237
충북,"1,838",715,11,9,695,32,663
전북,"1,888",733,9,13,711,40,671
경남,"4,469","1,577",10,14,"1,553",73,"1,480"
제주,401,162,2,1,159,6,153
인천,"5,020","1,862",19,22,"1,821",74,"1,747"
경기/북부,"3,232","1,138",15,24,"1,099",36,"1,063"
강원/영동,387,135,0,3,132,4,128
