구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"9,701","3,848",100,44,"3,703",108,"3,595"
부산,"4,817","1,497",18,16,"1,463",48,"1,415"
대구/경북,"6,567","2,208",45,18,"2,145",90,"2,055"
경인,"7,431","2,552",50,27,"2,475",102,"2,373"
광주/전남,"4,090","1,547",31,10,"1,506",59,"1,447"
대전/충남,"3,509","1,174",20,9,"1,145",53,"1,092"
강원,602,241,5,4,232,15,217
충북,"1,868",595,14,6,575,25,550
전북,"1,875",677,10,6,661,23,638
경남,"4,088","1,180",12,7,"1,161",44,"1,117"
제주,368,114,1,3,110,4,106
인천,"4,667","1,480",13,9,"1,458",44,"1,414"
경기/북부,"2,597",888,8,9,871,32,839
강원/영동,234,68,2,1,65,2,63
