구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"1,698",809,22,4,783,32,751
부산,"2,730","1,590",30,11,"1,549",68,"1,481"
대구/경북,"1,857",986,11,9,966,32,934
경인,"1,388",737,9,3,725,30,695
광주/전남,"1,174",540,4,6,530,25,505
대전/충남,929,443,7,1,435,14,421
강원,141,75,1,0,74,4,70
충북,359,164,3,0,161,8,153
전북,489,213,5,1,207,12,195
경남,"3,424","1,980",30,8,"1,942",75,"1,867"
제주,175,85,2,2,81,5,76
인천,"1,101",593,9,4,580,31,549
경기/북부,662,301,4,5,292,11,281
강원/영동,115,82,1,1,80,8,72
