구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"32,033","10,471",175,381,"9,915",347,"9,568"
부산,"14,487","5,285",73,172,"5,040",212,"4,828"
대구/경북,"19,041","7,138",120,280,"6,738",248,"6,490"
경인,"28,523","9,524",174,392,"8,958",357,"8,601"
광주/전남,"12,831","5,110",67,207,"4,836",167,"4,669"
대전/충남,"14,151","5,142",72,189,"4,881",221,"4,660"
강원,"3,367","1,327",23,59,"1,245",61,"1,184"
충북,"5,395","1,986",30,66,"1,890",100,"1,790"
전북,"6,676","2,602",36,108,"2,458",73,"2,385"
경남,"11,067","4,073",47,154,"3,872",143,"3,729"
제주,"2,255",837,15,30,792,34,758
인천,"22,003","7,526",119,298,"7,109",305,"6,804"
경기/북부,"15,081","5,102",81,190,"4,831",225,"4,606"
강원/영동,"1,801",678,14,26,638,30,608
