구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,1571 ,949 ,10 ,30 ,909 ,76 ,833 
부산,1733 ,1152 ,8 ,42 ,1102 ,101 ,1001 
대구·경북,1216 ,831 ,13 ,38 ,780 ,73 ,707 
경인,1272 ,738 ,15 ,28 ,695 ,72 ,623 
광주·전남,903 ,617 ,4 ,28 ,585 ,61 ,524 
대전·충남,806 ,538 ,7 ,17 ,514 ,39 ,475 
강원,135 ,87 ,1 ,1 ,85 ,4 ,81 
충북,284 ,182 ,2 ,4 ,176 ,15 ,161 
전북,332 ,229 ,5 ,5 ,219 ,22 ,197 
경남,2395 ,1646 ,21 ,56 ,1569 ,131 ,1438 
제주,200 ,139 ,4 ,5 ,130 ,20 ,110 
인천,1031 ,643 ,10 ,28 ,605 ,75 ,530 
경기북부,547 ,330 ,6 ,7 ,317 ,23 ,294 
강원영동,143 ,101 ,2 ,4 ,95 ,9 ,86 
