구분,지원,선발,선발취소,연기,입영,귀가,실입영
서 울,"2,599","1,309",25,19,"1,265",80,"1,185"
부 산,"2,671","1,468",10,17,"1,441",99,"1,342"
대구ㆍ경북,"3,391","1,897",23,23,"1,852",136,"1,716"
경인,"2,597","1,356",13,21,"1,322",81,"1,241"
광주ㆍ전남,"1,802",989,17,9,963,45,918
대전ㆍ충남,"1,594",839,10,8,821,53,768
강 원,343,193,5,3,185,14,171
충 북,909,555,4,3,548,38,510
전 북,791,435,7,3,425,18,407
경 남,"2,138","1,185",6,8,"1,171",75,"1,096"
제 주,555,307,3,0,304,22,282
인 천,"2,231","1,112",10,19,"1,082",68,"1,014"
경기북부,"1,297",648,12,11,625,41,584
강원영동,281,157,3,2,152,6,146
