구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"2,512","1,163",24,11,"1,128",43,"1,085"
부산,"2,436","1,349",16,9,"1,324",63,"1,261"
대구/경북,"3,382","1,927",23,14,"1,890",107,"1,783"
경인,"2,248","1,261",15,16,"1,230",58,"1,172"
광주/전남,"1,630",832,9,10,813,45,768
대전/충남,"1,462",803,8,7,788,42,746
강원,305,171,2,3,166,3,163
충북,893,511,8,8,495,18,477
전북,882,482,7,6,469,26,443
경남,"2,112","1,295",18,13,"1,264",61,"1,203"
제주,509,293,2,1,290,13,277
인천,"2,193","1,188",14,14,"1,160",80,"1,080"
경기/북부,"1,064",624,21,11,592,33,559
강원/영동,274,147,0,1,146,7,139
